Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Q1,Q2,Q3,Q4,Q5,Age,Gender,Household Income,Region,Device Type
10803794160,237700226,2019-06-17 16:44:44,2019-06-17 21:43:14,,,,,1718e3c6bc2048de5d60b04f7c,Slightly agree,Slightly agree,Neither agree nor disagree,Moderately agree,Slightly disagree,18-29,Female,"$75,000-$99,999",Mountain,Android Phone / Tablet
10803694485,237700226,2019-06-17 20:29:20,2019-06-17 20:40:18,,,,,0a27414ca40daf44652e9688c4,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,45-60,Female,"$100,000-$124,999",Pacific,Windows Desktop / Laptop
10803682432,237700226,2019-06-17 20:30:11,2019-06-17 20:31:22,,,,,676b8ed37d490af1b344e50ffa,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly disagree,45-60,Female,"$0-$9,999",South Atlantic,Android Phone / Tablet
10803681735,237700226,2019-06-17 20:29:46,2019-06-17 20:30:47,,,,,e1e398caba1d99bb62c23fff34,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Moderately disagree,> 60,Female,"$50,000-$74,999",New England,Windows Desktop / Laptop
10803681426,237700226,2019-06-17 20:28:29,2019-06-17 20:30:32,,,,,de01e8dd0f715a191ed6d148fd,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,45-60,Female,"$10,000-$24,999",East North Central,Android Phone / Tablet
10803681331,237700226,2019-06-17 20:29:03,2019-06-17 20:30:28,,,,,cfa842b29a62d41d43745c0106,Moderately disagree,Strongly disagree,Strongly disagree,Moderately disagree,Strongly disagree,45-60,Female,"$25,000-$49,999",East South Central,iOS Phone / Tablet
10803680991,237700226,2019-06-17 20:29:13,2019-06-17 20:30:12,,,,,3b44c4ea1882a516a44b654acf,Strongly disagree,Strongly agree,Strongly disagree,Moderately disagree,Strongly disagree,45-60,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
10803680765,237700226,2019-06-17 20:29:14,2019-06-17 20:30:02,,,,,19bc4abf7587150612a8757515,Moderately agree,Moderately disagree,Strongly disagree,Neither agree nor disagree,Moderately disagree,45-60,Female,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10803680734,237700226,2019-06-17 20:28:20,2019-06-17 20:30:00,,,,,c650f41952794fa50bef7db9af,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
10803680007,237700226,2019-06-17 20:28:41,2019-06-17 20:29:28,,,,,065400cce721e58af0c8ea3264,Slightly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,> 60,Female,"$10,000-$24,999",East South Central,Android Phone / Tablet
10803679815,237700226,2019-06-17 20:28:30,2019-06-17 20:29:19,,,,,0ba2959b1bdf5a654f3b00a2d0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,45-60,Female,Prefer not to answer,East North Central,Windows Desktop / Laptop
10803679180,237700226,2019-06-17 20:27:50,2019-06-17 20:28:48,,,,,b3aee742ecc15a59a67dfa2708,Neither agree nor disagree,Moderately disagree,Strongly disagree,Moderately agree,Slightly agree,45-60,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
10803679108,237700226,2019-06-17 20:27:33,2019-06-17 20:28:44,,,,,2378f4a7ebae408189a3b64e66,Neither agree nor disagree,Moderately agree,Moderately disagree,Strongly disagree,Moderately disagree,45-60,Female,"$50,000-$74,999",East North Central,Android Phone / Tablet
10803679005,237700226,2019-06-17 20:27:50,2019-06-17 20:28:40,,,,,3c33cfe2484ea33bbb419b89a9,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly disagree,45-60,Female,"$75,000-$99,999",Mountain,Android Phone / Tablet
10803678919,237700226,2019-06-17 20:26:54,2019-06-17 20:28:36,,,,,051ac0d9b4e5df241c62afff7f,Slightly disagree,Moderately agree,Neither agree nor disagree,Moderately disagree,Slightly disagree,45-60,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
10803678887,237700226,2019-06-17 20:27:13,2019-06-17 20:28:34,,,,,6ea05b41a0c34eb41667517783,Neither agree nor disagree,Moderately agree,Strongly agree,Moderately agree,Moderately disagree,45-60,Female,"$100,000-$124,999",West South Central,Android Phone / Tablet
